"X","work","home","num_of_workers","BG","origin_lat","origin_lon","dest_lat","dest_lon","distance","duration","dest_time","far"
295,60590525181060,60650301043012,1,60650301043,34.0027005,-117.3645093,33.6602007,-117.7508458,68414,2597,9.72138888888889,"40-80"
296,60590525181076,60650301043007,1,60650301043,34.0017148,-117.3652335,33.6521561,-117.7551896,68187,2537,9.70472222222222,"40-80"
297,60590525242007,60650301043001,1,60650301043,34.0070262,-117.3681027,33.7349122,-117.7927353,61583,2530,9.70277777777778,"40-80"
298,60590525255002,60650301043006,1,60650301043,34.0060829,-117.3684308,33.7282734,-117.7875628,60177,2458,9.68277777777778,"40-80"
299,60590525255002,60650301043015,1,60650301043,34.0035562,-117.3620745,33.7282734,-117.7875628,59442,2355,9.65416666666667,"40-80"
300,60590525274007,60650301043006,1,60650301043,34.0060829,-117.3684308,33.697053,-117.8009256,64344,2577,9.71583333333333,"40-80"
301,60590626102016,60650301043015,1,60650301043,34.0035562,-117.3620745,33.6849624,-117.8675395,73526,2855,9.79305555555556,"40-80"
302,60590626102068,60650301043013,1,60650301043,34.004432,-117.3652038,33.6691112,-117.8667827,70232,3002,9.83388888888889,"40-80"
303,60590626102088,60650301043016,1,60650301043,34.0031124,-117.3597635,33.6764882,-117.8586343,69521,2862,9.795,"40-80"
304,60590626102114,60650301043020,1,60650301043,34.0013337,-117.3535595,33.6701056,-117.8624481,69657,2839,9.78861111111111,"40-80"
305,60590626224008,60650301043014,1,60650301043,34.004874,-117.3629136,33.6226863,-117.7178548,73372,2728,9.75777777777778,"40-80"
306,60590626344003,60650301043019,1,60650301043,34.0021066,-117.3555449,33.5920657,-117.7236015,80105,3064,9.85111111111111,"80-120"
307,60590626344031,60650301043012,1,60650301043,34.0027005,-117.3645093,33.5886724,-117.7284904,80546,3288,9.91333333333333,"80-120"
308,60590626371006,60650301043003,1,60650301043,34.0061374,-117.3645666,33.5780687,-117.7271666,82164,3336,9.92666666666667,"80-120"
309,60590626471011,60650301043013,1,60650301043,34.004432,-117.3652038,33.6119239,-117.7112617,74468,2911,9.80861111111111,"40-80"
310,60590630071006,60650301043001,1,60650301043,34.0070262,-117.3681027,33.6227998,-117.8699031,84657,3507,9.97416666666667,"80-120"
311,60590630081002,60650301043012,1,60650301043,34.0027005,-117.3645093,33.6147546,-117.8821837,83054,3433,9.95361111111111,"80-120"
312,60590630081026,60650301043011,1,60650301043,34.0053209,-117.3676212,33.6080178,-117.8775748,84311,3419,9.94972222222222,"80-120"
313,60590631012001,60650301043000,1,60650301043,34.0077899,-117.3671563,33.6597053,-117.8755479,76633,2918,9.81055555555556,"40-80"
314,60590635001069,60650301043026,1,60650301043,34.0006773,-117.3625596,33.6078675,-117.9280696,81731,3412,9.94777777777778,"80-120"
315,60590638022018,60650301043016,1,60650301043,34.0031124,-117.3597635,33.6726044,-117.930313,78726,3156,9.87666666666667,"40-80"
316,60590639073000,60650301043014,1,60650301043,34.004874,-117.3629136,33.6911586,-117.8889058,74300,3021,9.83916666666667,"40-80"
317,60590639073000,60650301043015,1,60650301043,34.0035562,-117.3620745,33.6911586,-117.8889058,73539,3001,9.83361111111111,"40-80"
318,60590740062007,60650301043000,1,60650301043,34.0077899,-117.3671563,33.6996171,-117.8855215,73084,2887,9.80194444444444,"40-80"
319,60590740063011,60650301043024,1,60650301043,33.999774,-117.3589672,33.6956074,-117.8854857,74007,2796,9.77666666666667,"40-80"
320,60590741023009,60650301043012,1,60650301043,34.0027005,-117.3645093,33.7178397,-117.8865935,72341,3242,9.90055555555556,"40-80"
321,60590741062014,60650301043010,1,60650301043,34.0046433,-117.3693954,33.7085566,-117.9207574,78214,3155,9.87638888888889,"40-80"
322,60590741062034,60650301043001,1,60650301043,34.0070262,-117.3681027,33.70377,-117.9207,78614,3120,9.86666666666667,"40-80"
323,60590741072012,60650301043001,1,60650301043,34.0070262,-117.3681027,33.6969412,-117.8873531,75299,3025,9.84027777777778,"40-80"
324,60590741082000,60650301043000,1,60650301043,34.0077899,-117.3671563,33.7272121,-117.9031008,74603,3223,9.89527777777778,"40-80"
325,60590742004020,60650301043025,1,60650301043,34.0012498,-117.3620103,33.7254603,-117.8683673,68816,2892,9.80333333333333,"40-80"
326,60590744031026,60650301043020,1,60650301043,34.0013337,-117.3535595,33.7345484,-117.8517141,66899,2572,9.71444444444444,"40-80"
327,60590744031042,60650301043021,1,60650301043,33.9995933,-117.3546803,33.7297588,-117.8528139,67973,2684,9.74555555555555,"40-80"
328,60590744031050,60650301043001,1,60650301043,34.0070262,-117.3681027,33.7279575,-117.8432563,68239,2734,9.75944444444444,"40-80"
329,60590744031050,60650301043007,1,60650301043,34.0017148,-117.3652335,33.7279575,-117.8432563,66570,2593,9.72027777777778,"40-80"
330,60590744031089,60650301043012,1,60650301043,34.0027005,-117.3645093,33.7177553,-117.8525517,69155,2756,9.76555555555556,"40-80"
331,60590744062001,60650301043007,1,60650301043,34.0017148,-117.3652335,33.7497023,-117.8458198,64877,2586,9.71833333333333,"40-80"
332,60590744062001,60650301043017,1,60650301043,34.0025476,-117.3582775,33.7497023,-117.8458198,65576,2588,9.71888888888889,"40-80"
333,60590750021008,60650301043000,1,60650301043,34.0077899,-117.3671563,33.7518167,-117.8741464,70149,2819,9.78305555555556,"40-80"
334,60590750021008,60650301043012,1,60650301043,34.0027005,-117.3645093,33.7518167,-117.8741464,69056,2807,9.77972222222222,"40-80"
335,60590750021008,60650301043024,1,60650301043,33.999774,-117.3589672,33.7518167,-117.8741464,69741,2754,9.765,"40-80"
336,60590750021008,60650301043027,1,60650301043,34.0036865,-117.3687194,33.7518167,-117.8741464,68982,2803,9.77861111111111,"40-80"
337,60590750022027,60650301043024,1,60650301043,33.999774,-117.3589672,33.7463433,-117.8625692,66998,2716,9.75444444444445,"40-80"
338,60590750022041,60650301043001,1,60650301043,34.0070262,-117.3681027,33.745489,-117.8639305,67802,2835,9.7875,"40-80"
339,60590753011019,60650301043013,1,60650301043,34.004432,-117.3652038,33.7749556,-117.8825621,66243,2715,9.75416666666667,"40-80"
340,60590753011019,60650301043014,1,60650301043,34.004874,-117.3629136,33.7749556,-117.8825621,66765,2666,9.74055555555556,"40-80"
341,60590753011019,60650301043024,1,60650301043,33.999774,-117.3589672,33.7749556,-117.8825621,66788,2633,9.73138888888889,"40-80"
342,60590753022006,60650301043022,1,60650301043,34.000118,-117.3569394,33.7649688,-117.8897014,68155,2703,9.75083333333333,"40-80"
343,60590753031000,60650301043015,1,60650301043,34.0035562,-117.3620745,33.769349,-117.8684365,67415,2616,9.72666666666667,"40-80"
344,60590754033006,60650301043010,1,60650301043,34.0046433,-117.3693954,33.7501891,-117.8387912,64331,2594,9.72055555555556,"40-80"
345,60590754033006,60650301043022,1,60650301043,34.000118,-117.3569394,33.7501891,-117.8387912,64903,2510,9.69722222222222,"40-80"
